Keys,English
ini_continue,Continue
ini_load,Load
ini_ng,New game
ini_creds,Credits
creds_dev,Developer
creds_comp,Composer
creds_translators,Translators
config_sm,Screen mode
config_resolution,Resolution
config_pp,Pixel perfect
config_hud,Screen info.
config_icons,Device icons
config_lang,Language
config_match_lang,Match language
config_gen,General
config_sfx,Sound effects
config_mus,Music
config_amb,Ambience
config_dia,Dialogues
op_window,Window
op_fullscreen,Full screen
op_bordeless,Borderless window
op_yes,Yes
op_no,No
op_ok,OK
op_kb,Keyboard and mouse
op_gpa,Gamepad type A
op_gpb,Gamepad type B
op_gpc,Gamepad type C
op_dynamic,Dynamic
op_im,Initial menu
op_dsktp,Desktop
warn_quit,Quit game?
warn_bind_conflict,"There are conflicting assignments. To apply the changes, correct the conflicts."
term_config,Settings
term_quit,Quit game
term_turn,TURN
term_attack,Attack
term_skill,Skill
term_cast,Cast
term_use,Use
term_flee,Flee
term_return,Return
term_skip_turn,Skip turn
term_power,Power
term_con,Condition
term_neg,Negation
term_bnr,Bonus/Req.
term_res,Res.
term_poi,Poise
term_lv,Lv.
term_xp,XP
term_equips,Equipments
term_weas,Weapons
term_atl,Arm./Tal./Run.
term_charms,Charms
term_status,Status
term_attr,Attributes
term_nia,New item acquired
term_empty,Empty
scl_0,E
scl_1,D
scl_2,C
scl_3,B
scl_4,A
scl_5,S
ms_sanc,Sanctuary Activated
ms_death,You died
warn_combat,!Iminent Combat!
msg_wait_atk,{0} attacked with {1}
msg_wait_skill,{0} used skill {1}
msg_wait_cast,{0} casted {1}
msg_wait_use,{0} used {1}
msg_wait_skip,{0} skiped the turn
menu_tea,Team
menu_inv,Inventory
menu_cod,Codex
menu_map,Map
help_000,Select
help_001,Back
help_002,Change info.
help_003,Reset current option
help_004,Reset options
help_005,Remove assignment
help_006,Remove item
uti_name_000,Small Shards
uti_name_001,Shard Splinter
uti_name_002,Shard Fragment
uti_name_003,Shard Ore
uti_name_004,Moon Traces
uti_name_005,Moon Fragment
uti_name_006,Moon Piece
uti_name_007,Bandages
uti_name_008,Medicinal Herb
uti_name_009,Blood Vial
uti_name_010,Yrgvonian Potion
uti_name_011,Gishanu Rice
uti_name_012,Klimagno Potion
uti_name_013,Mana Pot
uti_name_014,Jornadel Jug
uti_name_015,Grinalite Nugget
uti_name_016,Buratite Crystal
uti_name_017,Kirolitium Nodule
uti_name_018,Rune Crest
uti_name_019,Soul Fragment
uti_name_020,Oil Pot
uti_name_021,Explosive Pot
uti_name_022,Electric Pot
uti_name_023,Throwing Dagger
uti_name_024,Throwing Kukri
uti_desc_000_003,"Grants {0} Shards.

Before the Shards, the value of exchange had been lost underground, and humanity found itself lost."
uti_desc_004_006,"Grants {0} Moonlight Echoes.

Even though the Firrelins are considered demons on Earth, with them came the blessing that allows us to fortify our bodies and spirits."
uti_desc_007,"Restores a little of life.

Bindings stop bleeding and hold back pain, giving the illusion of well-being, even with the wound still open."
uti_desc_008,"Restores life.

The wisdom of intelligent races has always included the use of certain herbs to treat wounds, something that in combat can change the course of a dispute."
uti_desc_009,"Restores part of life.

Many cultures worship blood, believing it to be capable of restoring the body's constitution."
uti_desc_010,"Restores a lot of life.

A potion made for centuries by Yrgvonia, one of the ancient kingdoms of humanity, destroyed by the Firrelins."
uti_desc_011,Restores a large portion of health.
uti_desc_012,Restores a portion of mana.
uti_desc_013,Restores a large amount of mana.
uti_desc_014,Restores mana completely.
uti_desc_015,Reforges common weapons up to +4.
uti_desc_016,Reforges mystical weapons up to +4.
uti_desc_017,Reforges weapons to their maximum level.
uti_desc_018,Returns the team to the last Jernika's Shrine they rested at.
uti_desc_019,Revives a dead team member.
uti_desc_020,"Coats the enemy in oil for 4 turns, decreasing their fire resistance."
uti_desc_021,Deals fire damage to enemies.
uti_desc_022,Deals electric damage to enemies.
uti_desc_023,Deals physical damage and slight posture damage to enemies.
uti_desc_024,Deals physical damage and bleeding to enemies.
arm_name_000,Warrior Armor
arm_name_001,Ashen Armor
arm_name_002,Guardian Armor
arm_name_003,Necromancer Armor
arm_name_004,Feather Armor
arm_name_005,Count's Armor
arm_name_006,Crimson Plates
arm_name_007,Stone Plates
arm_name_008,Bear Cloak
arm_name_009,Hunting Cloak
arm_name_010,Black Cloak
arm_name_011,Pale Cloak
arm_name_012,Ancestral Wings
arm_name_013,Bone Cuirass
arm_name_014,Devastated Cuirass
arm_name_015,Ram's Cuirass
arm_name_016,Deacon's Robes
arm_name_017,Plague Robes
arm_name_018,Stalker's Robes
arm_name_019,Western Robes
arm_name_020,Shadow Garb
arm_name_021,Mountain Garb
arm_name_022,Old Rags
arm_name_023,Mountain Tunic
arm_name_024,Explorer's Tunic
arm_name_025,Mist Tunic
arm_desc_000,"Few survive combat without good protection, only almost mythical warriors can do so. There are reports of such figures throughout history, and facing them is seen as a rare honor."
arm_desc_001,
arm_desc_002,
arm_desc_003,
arm_desc_004,
arm_desc_005,
arm_desc_006,
arm_desc_007,
arm_desc_008,
arm_desc_009,
arm_desc_010,
arm_desc_011,
arm_desc_012,
arm_desc_013,
arm_desc_014,
arm_desc_015,
arm_desc_016,
arm_desc_017,
arm_desc_018,
arm_desc_019,
arm_desc_020,
arm_desc_021,
arm_desc_022,
arm_desc_023,
arm_desc_024,
arm_desc_025,
wea_name_000,Assassin Dagger
wea_name_001,Aquamarine Dagger
wea_name_002,Nebulous Dagger
wea_name_003,Damascenus
wea_name_004,Broken Sword
wea_name_005,Long Sword
wea_name_006,Obsidian Sword
wea_name_007,Cursed Sword
wea_name_008,Bloodstained Axe
wea_name_009,Tidebreaker
wea_name_010,Halberd of Honor
wea_name_011,Funeral Halberd
wea_name_012,Ring Bracelet
wea_name_013,Iron Gauntlets
wea_name_014,Wooden Staff
wea_name_015,Arcane Scepter
wea_name_016,Cerulean Staff
wea_name_017,Sacred Beads
wea_name_018,Blood Vessel
wea_name_019,Wooden Bow
wea_name_020,Harp Bow
wea_name_021,Parrying Shield
wea_name_022,Crest Shield
wea_desc_000,
wea_desc_001,
wea_desc_002,
wea_desc_003,
wea_desc_004,
wea_desc_005,"Warriors of the West follow an ancient custom. After gaining experience, they seek out a certain rite that grants them something special."
wea_desc_006,
wea_desc_007,
wea_desc_008,"It is said that barbarians have unusual strength and perhaps a common origin with the Fomludes, who disappeared shortly before their emergence."
wea_desc_009,
wea_desc_010,
wea_desc_011,
wea_desc_012,
wea_desc_013,
wea_desc_014,
wea_desc_015,
wea_desc_016,
wea_desc_017,
wea_desc_018,
wea_desc_019,
wea_desc_020,
wea_desc_021,
wea_desc_022,
ski_name_000,
ski_desc_000,
spe_name_000,
spe_desc_000,
cha_name_000,Belt of Bravery
cha_name_001,Gold Necklace
cha_name_002,Bronze Necklace
cha_name_003,Hardened Heart
cha_name_004,Engraved Stone
cha_name_005,Gishanu Miniature
cha_name_006,Hunter's Bone
cha_name_007,Lineage Tanto
cha_name_008,Stone Shield
cha_name_009,Agate Pendant
cha_name_010,Topaz Pendant
cha_name_011,Opal Pendant
cha_name_012,Agate Amulet
cha_name_013,Citrine Amulet
cha_name_014,Amethyst Keepsake
cha_name_015,Lunar Totem
cha_name_016,Loot Bag
cha_name_017,Eye of Greed
cha_desc_000,Greatly increases attack power.
cha_desc_001,Increases spell power.
cha_desc_002,Increases miracle power.
cha_desc_003,"Increases defense as more hits are landed during battle, up to a certain limit."
cha_desc_004,"Increases attack power as more hits are landed during battle, up to a certain limit."
cha_desc_005,Increases fist attack power.
cha_desc_006,Increases ranged attack power.
cha_desc_007,Improves evasion.
cha_desc_008,Improves damage absorption from blocking.
cha_desc_009,Improves physical defense.
cha_desc_010,Improves magic defense.
cha_desc_011,Improves flame defense.
cha_desc_012,Greatly improves physical defense.
cha_desc_013,Greatly improves electric defense.
cha_desc_014,Improves elemental resistance.
cha_desc_015,Increases the acquisition of Moonlight Echoes.
cha_desc_016,Increases the acquisition of Shards.
cha_desc_017,Increases item discovery.
tal_name_000,Thorn Bracelet
tal_name_001,Frost Axe Talisman
tal_name_002,Blood Vessel
tal_name_003,Rag Doll
tal_name_004,Black Herb
tal_name_005,Corrupted Orb
tal_name_006,Punishment and Remorse
tal_name_007,Serpentine Talisman
tal_name_008,Triple Wood Ring
tal_desc_000,"Increases damage dealt, but also increases damage received."
tal_desc_001,"Increases freezing power, but decreases resistance to fire damage."
tal_desc_002,"Strengthens attacks in the first 2 turns, but reduces defense in subsequent turns."
tal_desc_003,"Increases the group's defense per member, but decreases damage dealt per member."
tal_desc_004,"Increases the effectiveness of healing items, but reduces maximum mana."
tal_desc_005,"Increases spell power, but increases casting cost."
tal_desc_006,"Strengthens attacks on enemies with full health, but weakens attacks on enemies with low health."
tal_desc_007,"Poisoned enemies take more damage, but they also deal more damage."
tal_desc_008,"Doubles the power of healing effects, but they are divided equally among all group members."
run_name_000,Hateful Ambush
run_name_001,Jernika's Mercy
run_name_002,Immediate Retribution
run_name_003,Bloody Spoils
run_name_004,Eminent Fury
run_name_005,Mystic Lottery
run_desc_000,Initiating combat by attacking deals double damage.
run_desc_001,Grants the power to survive a deadly attack once. Restores when resting at a Jernika's Sanctuary.
run_desc_002,Instantly counterattacks the last enemy that attacked you with your strongest weapon if the enemy's damage is greater than yours.
run_desc_003,Grants Shards when landing a critical hit.
run_desc_004,Passing your turn grants damage increase on your next turn.
run_desc_005,Chance for spells to cost only half their mana cost.
amm_name_000,Wooden Arrow
amm_name_001,Feather Arrow
amm_name_002,Arrow
amm_name_003,Magic Arrow
amm_name_004,Flaming Arrow
amm_name_005,Explosive Arrow
amm_name_006,Electric Arrow
amm_desc_000,Arrow made of wood.
amm_desc_001,Arrow decorated with feathers.
amm_desc_002,Arrow with an iron-forged tip.
amm_desc_003,Arrow bathed in magical power.
amm_desc_004,Arrow bathed in mystical oil that never stops burning.
amm_desc_005,Arrow with gunpowder stuck to its tip.
amm_desc_006,Arrow bathed in electric power.
prologue_000,Our people lived in prosperity. There were no difficulties or wars.
prologue_001,"Until one day, or should I say one night, everything changed."
prologue_002,"Our cerulean starry sky began to move rapidly, and then, it seemed, to fall."
prologue_003,"Strange beings, called Firrelins, emerged from those monstrous craters and suddenly began to attack us."
prologue_004,"Soon, the largest, supposedly star, fell and formed the largest crater, and a proportionally gigantic creature emerged from it."
prologue_005,"We nicknamed it Vehord, the Lupine Lord."
prologue_006,That monstrous wolf apparently commanded the smaller creatures. And the whole attack only got worse...
prologue_007,"As our only choice, we hid underground on our planet."
prologue_008,"It soon became clear that the interior of the Earth was magically indestructible to the stellar beings, but still capable of being invaded, however arduously..."
prologue_009,"Over time, exploring that new world, we were shown everything the world hid."
prologue_010,"Magic, sophisticated engineering, other races like us, and even the gods, though most were far from their full potential or dead."
prologue_011,"We joined forces with the other beings, and over time, we established our own societies and kingdoms."
prologue_012,"And now, we have special troops called Moonlight Travelers, who explore the entire underground in search of resources and to improve themselves"
prologue_013,"So that, when they are together, they can cross the barrier that separates the underground from the surface and face Vehord, and any other Cerulean Lords..."
prologue_014,"So that one day, we may return to the vast kingdom that was taken from us."
npc_000_dia_000,But you already know that story...
