Keys,Français
ini_continue,Continuer
ini_load,Charger
ini_ng,Nouvelle partie
ini_creds,Crédits
creds_dev,Développeur
creds_comp,Compositeur
creds_translators,Traducteurs
config_sm,Mode d'affichage
config_resolution,Résolution
config_pp,Au pixel près
config_hud,Infos écran
config_icons,Icônes appareil
config_lang,Langage
config_match_lang,Langage auto
config_gen,Général
config_sfx,Effets sonores
config_mus,Music
config_amb,Ambiance
config_dia,Dialogues
op_window,Fenêtré
op_fullscreen,Plein écran
op_bordeless,Fenêtré sans bordures
op_yes,Oui
op_no,Non
op_ok,OK
op_kb,Clavier et souris
op_gpa,Manette type A
op_gpb,Manette type B
op_gpc,Manette type C
op_dynamic,Dynamique
op_im,Menu principal
op_dsktp,Bureau
warn_quit,Quitter le jeu ?
warn_bind_conflict,Certaines attributions sont incompatibles. Corrigez les conflits pour appliquer les changements.
term_config,Paramètres
term_quit,Quitter le jeu
term_turn,TOUR
term_attack,Attaquer
term_skill,Capacités
term_cast,Catalyser
term_use,Utiliser
term_flee,Fuir
term_return,Retour
term_skip_turn,Passer le tour
term_power,Pouvoir
term_con,Condition
term_neg,Négation
term_bnr,Bonus/Req.
term_res,Res.
term_poi,Posture
term_lv,Nv.
term_xp,XP
term_equips,Équipements
term_weas,Armes
term_atl,Arm./Tal./Run.
term_charms,Amulettes
term_status,Statut
term_attr,Attributs
term_nia,Nouvel objet obtenu
term_empty,Vide
scl_0,E
scl_1,D
scl_2,C
scl_3,B
scl_4,A
scl_5,S
ms_sanc,Sanctuaire Activé
ms_death,Vous êtes mort
warn_combat,! Combat Imminent !
msg_wait_atk,{0} a attaqué avec {1}
msg_wait_skill,{0} a utilisé la capacité {1}
msg_wait_cast,{0} a catalysé {1}
msg_wait_use,{0} a utilisé {1}
msg_wait_skip,{0} a passé le tour
menu_tea,Équipe
menu_inv,Inventaire
menu_cod,Codex
menu_map,Carte
help_000,Sélectionner
help_001,Retour
help_002,Infos changement
help_003,Réinitialiser l'option actuelle
help_004,Réinitialiser les options
help_005,Enlever l'attribution
help_006,Enlever l'objet
uti_name_000,Petits Éclats
uti_name_001,Écharde d'Éclat
uti_name_002,Fragment d'Éclat
uti_name_003,Minerai d'Éclat
uti_name_004,Traces de Lune
uti_name_005,Fragment de Lune
uti_name_006,Morceau de Lune
uti_name_007,Bandages
uti_name_008,Herbe Médicinale
uti_name_009,Fiole de Sang
uti_name_010,Potion Yrgvonienne
uti_name_011,Riz de Gishanu
uti_name_012,Potion de Klimagno
uti_name_013,Jarre de Mana
uti_name_014,Carafe de Jornadel
uti_name_015,Pépite de Grinalite
uti_name_016,Crystal de Buratite
uti_name_017,Nodule de Kirolitium
uti_name_018,Blason de Rune
uti_name_019,Fragment d'Âme
uti_name_020,Jarre d'Huile
uti_name_021,Jarre Explosive
uti_name_022,Jarre Électrique
uti_name_023,Dague de Lancer
uti_name_024,Kukri de Lancer
uti_desc_000_003,"Donne {0} Éclats.

Avant les Éclats, la valeur de l'échange avait été enterrée et l'humanité se voyait perdue."
uti_desc_004_006,"Donne {0} Reflets de Lumière Sélène.

Bien que les Firrelins soient considérés comme des démons sur Terre, avec eux vint la bénédiction nous permettant de fortifier nos corps et nos esprits."
