Keys,Português (Portugal)
ini_continue,Continuar
ini_load,Carregar
ini_ng,Novo jogo
ini_creds,Créditos
creds_dev,Desenvolvedor
creds_comp,Compositor
creds_translators,Tradutores
config_sm,Modo de tela
config_resolution,Resolução
config_pp,Pixel perfeito
config_hud,Info. de tela
config_icons,Ícones de dispositivo
config_lang,Idioma
config_match_lang,Corresponder idioma
config_gen,Geral
config_sfx,Efeitos sonoros
config_mus,Músicas
config_amb,Ambiente
config_dia,Diálogos
op_window,Janela
op_fullscreen,Tela cheia
op_bordeless,Janela sem bordas
op_yes,Sim
op_no,Não
op_ok,OK
op_kb,Teclado e mouse
op_gpa,Controle tipo A
op_gpb,Controle tipo B
op_gpc,Controle tipo C
op_dynamic,Dinâmico
op_im,Menu inicial
op_dsktp,Área de trabalho
warn_quit,Sair do jogo?
warn_bind_conflict,"Há atribuições conflitantes. Para aplicar as alterações, corrija os conflitos."
term_config,Configurações
term_quit,Sair do jogo
term_turn,TURNO
term_attack,Atacar
term_skill,Habilidade
term_cast,Catalisar
term_use,Usar
term_flee,Fugir
term_return,Voltar
term_skip_turn,Pular turno
term_power,Poder
term_con,Condição
term_neg,Negação
term_bnr,Bônus/Req.
term_res,Res.
term_poi,Postura
term_lv,Nv.
term_xp,XP
term_equips,Equipamentos
term_weas,Armas
term_atl,Arm./Tal./Run.
term_charms,Amuletos
term_status,Status
term_attr,Atributos
term_nia,Novo item adquirido
term_empty,Vazio
scl_0,E
scl_1,D
scl_2,C
scl_3,B
scl_4,A
scl_5,S
ms_sanc,Santuário ativado
ms_death,Você morreu
warn_combat,!Combate Iminente!
msg_wait_atk,{0} atacou com {1}
msg_wait_skill,{0} usou habilidade {1}
msg_wait_cast,{0} catalisou {1}
msg_wait_use,{0} usou {1}
msg_wait_skip,{0} pulou seu turno
menu_tea,Time
menu_inv,Inventário
menu_cod,Códice
menu_map,Mapa
help_000,Selecionar
help_001,Voltar
help_002,Alterar info.
help_003,Redefinir opção atual
help_004,Redefinir opções
help_005,Remover atribuição
help_006,Remover item
uti_name_000,Pequenos Estilhaços
uti_name_001,Lasca de Estilhaço
uti_name_002,Fragmento de Estilhaço
uti_name_003,Minério de Estilhaço
uti_name_004,Vestígios da Lua
uti_name_005,Fragmento da Lua
uti_name_006,Pedaço da Lua
uti_name_007,Bandagens
uti_name_008,Erva Medicinal
uti_name_009,Frasco de Sangue
uti_name_010,Poção Yrgvoniana
uti_name_011,Arroz de Gishanu
uti_name_012,Poção de Klimagno
uti_name_013,Pote de Mana
uti_name_014,Jarro de Jornadel
uti_name_015,Pepita de Grinalita
uti_name_016,Cristal de Buratite
uti_name_017,Nódulo de Kirolitium
uti_name_018,Brasão de Runa
uti_name_019,Fragmento de Alma
uti_name_020,Pote de Óleo
uti_name_021,Pote Explosivo
uti_name_022,Pote Elétrico
uti_name_023,Adaga de Arremesso
uti_name_024,Kukri de Arremesso
uti_desc_000_003,"Concede {0} Estilhaços.

Antes dos Estilhaços, o valor das trocas tinha se perdido no subsolo, e a humanidade se via perdida."
uti_desc_004_006,"Concede {0} Essências do Luar.

Mesmo os Firrelins sendo considerados demônios na Terra, com eles veio a benção que nos permite fortificar o corpo e o espírito."
uti_desc_007,"Restaura um pouco de vida.

Amarras estancam o sangramento e seguram a dor, dão a ilusão de bem estar, mesmo com a ferida ainda aberta."
uti_desc_008,"Restaura vida.

A sabedoria das raças inteligentes sempre incluiu o uso de certas ervas para tratar ferimentos, algo que em combate pode mudar o rumo de uma disputa."
uti_desc_009,"Restaura parte da vida.

Em muitas culturas cultuam o sangue, com a crença de ser capaz de recuperar a constituição do corpo."
uti_desc_010,"Restaura muita vida.

Poção feita desde séculos pela Yrgvonia, um dos antigos reinos da humanidade, destruído pelos Firrelins."
uti_desc_011,Restaura grande parte da vida.
uti_desc_012,Restaura parte da mana.
uti_desc_013,Restaura muita mana.
uti_desc_014,Restaura a mana completamente.
uti_desc_015,Reforja armas comuns até +4.
uti_desc_016,Reforja armas místicas até +4.
uti_desc_017,Reforja armas até o nível máximo.
uti_desc_018,Retorna o grupo para o último Santuário de Jernika descansado.
uti_desc_019,Retorna a vida um membro morto do grupo.
uti_desc_020,"Banha o inimigo em óleo por 4 turnos, diminuindo sua resistência a fogo."
uti_desc_021,Causa dano flamejante a inimigos.
uti_desc_022,Causa dano elétrico a inimigos.
uti_desc_023,Causa dano físico e leve dano contra postura a inimigos.
uti_desc_024,Causa dano físico e acúmulo de sangramento a inimigos.
arm_name_000,Armadura de Guerreiro
arm_name_001,Armadura Cinzenta
arm_name_002,Armadura de Guardião
arm_name_003,Armadura Necromante
arm_name_004,Armadura de Plumas
arm_name_005,Armadura do Conde
arm_name_006,Placas Carmesins
arm_name_007,Placas de Pedra
arm_name_008,Manto de Urso
arm_name_009,Manto de Caçada
arm_name_010,Manto Negro
arm_name_011,Manto Pálido
arm_name_012,Assas Ancestrais
arm_name_013,Couraça Óssea
arm_name_014,Couraça Devastada
arm_name_015,Couraça do Carneiro
arm_name_016,Vestes de Diácono
arm_name_017,Vestes da Praga
arm_name_018,Vestes do Espreitador
arm_name_019,Vestes do Oeste
arm_name_020,Traje de Sombras
arm_name_021,Traje dos Montes
arm_name_022,Trapos Velhos
arm_name_023,Túnica das Montanhas
arm_name_024,Túnica de Explorador
arm_name_025,Túnica da Névoa
arm_desc_000,"Poucos sobrevivem em combate sem boa proteção, apenas guerreiros quase míticos conseguem isso. Há relatos de figuras assim ao longo da história, e enfrentá-las é visto como uma honra rara."
arm_desc_001,
arm_desc_002,
arm_desc_003,
arm_desc_004,
arm_desc_005,
arm_desc_006,
arm_desc_007,
arm_desc_008,
arm_desc_009,
arm_desc_010,
arm_desc_011,
arm_desc_012,
arm_desc_013,
arm_desc_014,
arm_desc_015,
arm_desc_016,
arm_desc_017,
arm_desc_018,
arm_desc_019,
arm_desc_020,
arm_desc_021,
arm_desc_022,
arm_desc_023,
arm_desc_024,
arm_desc_025,
wea_name_000,Adaga Assassina
wea_name_001,Adaga Aquosa
wea_name_002,Adaga Nebulosa
wea_name_003,Damascenus
wea_name_004,Espada Quebrada
wea_name_005,Espada Longa
wea_name_006,Espada de Obsidiana
wea_name_007,Espada amaldiçoada
wea_name_008,Machado Ensanguentado
wea_name_009,Quebra-Maré
wea_name_010,Alabarda da Honra
wea_name_011,Alabarda Fúnebre
wea_name_012,Bracelete de Anéis
wea_name_013,Manoplas de Ferro
wea_name_014,Cajado de Madeira
wea_name_015,Cetro Arcano
wea_name_016,Cajado Cerúleo
wea_name_017,Contas Sagradas
wea_name_018,Receptáculo de Sangue
wea_name_019,Arco de Madeira
wea_name_020,Arco de Harpa
wea_name_021,Escudo de Aparagem
wea_name_022,Escudo de Brasão
wea_desc_000,
wea_desc_001,
wea_desc_002,
wea_desc_003,
wea_desc_004,
wea_desc_005,"Guerreiros do Oeste seguem um antigo costume. Após ganharem experiência, buscam um certo rito que lhes concede algo especial."
wea_desc_006,
wea_desc_007,
wea_desc_008,"Diz-se que os bárbaros têm uma força incomum e talvez origem em comum com Fomludes, que desapareceram pouco antes de seu surgimento."
wea_desc_009,
wea_desc_010,
wea_desc_011,
wea_desc_012,
wea_desc_013,
wea_desc_014,
wea_desc_015,
wea_desc_016,
wea_desc_017,
wea_desc_018,
wea_desc_019,
wea_desc_020,
wea_desc_021,
wea_desc_022,
ski_name_000,
ski_desc_000,
spe_name_000,
spe_desc_000,
cha_name_000,Cinturão de Bravura
cha_name_001,Colar de Ouro
cha_name_002,Colar de Bronze
cha_name_003,Coração Endurecido
cha_name_004,Pedra Gravada
cha_name_005,Miniatura de Gishanu
cha_name_006,Osso de Caçador
cha_name_007,Tanto de Linhagem
cha_name_008,Escudo de Pedra
cha_name_009,Pingente de Ágata
cha_name_010,Pingente de Topázio
cha_name_011,Pingente de Opala
cha_name_012,Amuleto de Ágata
cha_name_013,Amuleto de Citrino
cha_name_014,Recordação de Ametista
cha_name_015,Totem Lunar
cha_name_016,Bolsa de Saque
cha_name_017,Olho da Ganância
cha_desc_000,Aumenta vastamente poder de ataque.
cha_desc_001,Aumenta poder de feitiços.
cha_desc_002,Aumenta poder de milagres.
cha_desc_003,Aumenta defesa conforme mais golpes são desferidos durante uma batalha até um certo limite.
cha_desc_004,Aumenta poder de ataque conforme mais golpes são desferidos durante uma batalha até um certo limite.
cha_desc_005,Aumenta poder de ataques de punho.
cha_desc_006,Aumenta poder de ataque à distância.
cha_desc_007,Melhora a esquiva.
cha_desc_008,Melhora a absorção de dano do bloqueio.
cha_desc_009,Melhora a defesa física.
cha_desc_010,Melhora a defesa mágica.
cha_desc_011,Melhora a defesa flamejante.
cha_desc_012,Melhora vastamente a defesa física.
cha_desc_013,Melhora vastamente a defesa elétrica.
cha_desc_014,Melhora a resistência elemental.
cha_desc_015,Aumenta a obtenção de Essencias do Luar.
cha_desc_016,Aumenta a obtenção de Estilhaços.
cha_desc_017,Aumenta a descoberta de itens.
tal_name_000,Bracelete Espinhoso
tal_name_001,Talismã do Machado Gélido
tal_name_002,Receptáculo Sanguíneo
tal_name_003,Boneco de Pano
tal_name_004,Erva Negra
tal_name_005,Orbe Corrompido
tal_name_006,Punição e Remorso
tal_name_007,Talismã Serpentino
tal_name_008,Anél de Madeira Triplo
